county,state,total_exp,medical_care_exp,edu_training_exp,exp_per_vet,county_pop,vet_pop,med_patients,state_va_fac,hs_grad_pct,clg_grad_pct,median_income,poverty_pct,unemployment_pct,severe_housing_problems_pct,smokers_pct,obesity_pct,inactive_pct,excess_alcohol_pct,diabetes_pct,food_insecure_pct,age_under18_pct,age_over65_pct,rural_pct
wyoming,ny,26344.203807198697,11992.206807198696,783.062,10.36674610735889,39859,2541.2220511987,936.0,77,90.46631050109863,17.999387741088867,59612.0,9.6,4.5,10.073318457,22.739390791,37.9,26.2,22.507704647,11.9,10.1,18.665796934,18.623146592,64.082552485
yates,ny,16527.606481381135,7072.935481381135,390.772,11.02777724539134,24913,1498.7250933354,614.0,77,86.49834728240967,24.4785099029541,57057.0,12.9,3.8,14.882226981,18.687168685,31.6,28.8,19.855883164,14.1,9.4,21.996547987,21.338257135,71.224554205
alamance,nc,120125.21982449862,56070.27582449862,4506.179,12.073729694450657,169509,9949.3050502622,3243.0,38,87.4907112121582,25.33820343017578,53220.0,15.1,4.8,15.872134528,20.955162565,37.5,23.2,17.920188042,10.7,14.0,22.04248742,17.128884012,28.558005968
alexander,nc,27271.010448705525,13676.608448705525,585.038,12.160703255330883,37497,2242.5520856905,935.0,38,83.39468383789062,14.225692749023438,53523.0,11.8,4.2,12.73190251,24.139540474,38.7,28.4,19.910866669,17.0,14.0,19.886924287,20.446969091,72.77810635
alleghany,nc,8663.716564102897,3202.9495641028975,124.73,10.201750802452446,11137,849.2382074281,308.0,38,78.74588966369629,20.760921478271484,39916.0,18.1,4.6,11.919831224,25.218263313,30.1,24.5,17.319682967,12.7,18.0,16.952500673,27.978809374,100.0
anson,nc,16304.484462031658,6602.756462031657,405.447,11.295265712286643,24446,1443.4794963960999,507.0,38,81.05119895935059,11.067642211914062,40818.0,20.7,6.3,15.966822188,24.973931109,40.8,37.2,15.542366111,13.3,16.6,19.790558783,19.348768715,78.510464598
ashe,nc,20597.866330473586,8234.315330473586,553.254,12.574690826770173,27203,1638.0415720936,690.0,38,86.33338165283203,20.035951614379883,44543.0,14.5,4.0,10.421008754,22.090203959,25.6,30.9,19.324482251,13.5,14.4,17.365731721,26.647796199,84.864924306
avery,nc,13836.50249152089,5647.715491520891,438.221,13.182883101729502,17557,1049.5809137309,461.0,38,85.74306201934814,23.65711784362793,50800.0,15.8,3.9,13.234200743,22.979422913,24.3,29.2,19.13683711,11.6,14.5,14.740559321,22.896850259,88.784626622
beaufort,nc,42069.96809328617,15562.156093286168,669.067,12.63204241035082,46994,3330.4169449917,1355.0,38,88.34284400939941,20.708629608154297,50253.0,18.1,4.8,14.383561644,21.835889609,44.6,31.1,16.98569183,10.2,16.2,19.842958676,24.552070477,65.600201009
bertie,nc,11318.031139841525,4175.151139841526,313.574,10.230168658076199,18947,1106.3386653852,341.0,38,78.81628608703613,14.509584426879883,41889.0,22.8,5.9,20.400500626,24.672844489,45.1,31.3,14.800112583,22.3,18.4,17.417005331,23.639626326,83.24405601
